Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,CV F1 (mean),CV F1 (std),CV Balanced Accuracy (mean),CV Balanced Accuracy (std),CV Accuracy (mean),CV Accuracy (std),CV ROC-AUC (mean),CV ROC-AUC (std),Untuned CV Balanced Accuracy
Logistic Regression,0.9534883720930233,0.9393939393939394,1.0,0.96875,0.9973118279569892,0.6692513182165938,0.12514307097989325,0.7015128205128204,0.056374594399519,0.6199462365591397,0.10713477791545968,0.7939605887939222,0.17294273647762415,0.5796766381766381
SVM,0.8604651162790697,0.8378378378378378,1.0,0.9117647058823529,0.846774193548387,0.85184323845017,0.07642053673919373,0.6487507122507122,0.19737411541626218,0.7714336917562724,0.11101351940289632,0.6306130104463439,0.26912765495582247,0.6550698005698004
XGBoost,0.8837209302325582,0.8611111111111112,1.0,0.9253731343283582,0.8897849462365592,0.8248538889191133,0.10164572935509632,0.6262321937321936,0.20878852524494448,0.7360931899641577,0.14028321268529712,0.6620280151946819,0.23652598728488486,0.6501396011396011
Random Forest,0.9069767441860465,0.8857142857142857,1.0,0.9393939393939394,0.9596774193548387,0.8096787251420952,0.10819752453780222,0.6034358974358974,0.2136959800735118,0.7137275985663082,0.15328582948949523,0.6888855650522316,0.20929687065009941,0.6194729344729345
