Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,CV F1 (mean),CV F1 (std),CV Accuracy (mean),CV Accuracy (std),CV ROC-AUC (mean),CV ROC-AUC (std),Untuned CV F1
Random Forest,0.7467532467532467,0.6119402985074627,0.7592592592592593,0.6776859504132231,0.8212962962962963,0.6951618527869967,0.0396265885891774,0.7736016704429338,0.02751431101724742,0.8312296973052787,0.029949673212893366,0.667827316597849
SVM,0.7272727272727273,0.5967741935483871,0.6851851851851852,0.6379310344827587,0.8140740740740741,0.6753913579640649,0.03853940254567271,0.7610866764405347,0.026752378832120085,0.8384832964193428,0.023792528786439157,0.6758456671203347
Logistic Regression,0.7207792207792207,0.5873015873015873,0.6851851851851852,0.6324786324786325,0.8085185185185185,0.6736733583425197,0.043224686741625745,0.7611044471100448,0.02819917666937716,0.841217700258398,0.02722727074933909,0.6700589057621623
XGBoost,0.7402597402597403,0.6060606060606061,0.7407407407407407,0.6666666666666666,0.8214814814814816,0.6716149266471271,0.0401126413674018,0.7546137100715267,0.02703081228841721,0.8326734957548911,0.030744148158342664,0.6593639399938519
