Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,CV F1 (mean),CV F1 (std),CV Accuracy (mean),CV Accuracy (std),CV ROC-AUC (mean),CV ROC-AUC (std),Untuned CV F1
Random Forest,0.819672131147541,0.775,0.9393939393939394,0.8493150684931506,0.9145021645021645,0.8517387863814551,0.032547376264279636,0.8381235827664401,0.035143666139988865,0.9172321505654839,0.02242999897506523,0.8399387975426297
Logistic Regression,0.7704918032786885,0.7435897435897436,0.8787878787878788,0.8055555555555556,0.8874458874458875,0.8484518553667775,0.039069335747017334,0.8311507936507935,0.04516922351317375,0.9098894932228264,0.032799391557816825,0.8281909521314016
SVM,0.7540983606557377,0.7368421052631579,0.8484848484848485,0.7887323943661971,0.8701298701298701,0.8475001699318082,0.04033120215212106,0.8311224489795919,0.04329676128410332,0.9047094880428215,0.03422051369975082,0.8372105032435982
XGBoost,0.819672131147541,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.9015151515151516,0.8412971836966787,0.03943603984461786,0.8256519274376417,0.04090818587441927,0.9052620219286885,0.030706688723974727,0.8271055800528163
